2023-06-23 05:13:49.417 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Car ID: 1
2023-06-23 05:13:49.418 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Brand: Toyota
2023-06-23 05:13:49.418 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Model: Camry
2023-06-23 05:13:49.418 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Year: 2022
2023-06-23 05:13:49.418 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Price: 25000
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Current Date: 2023/06/23 05:13:49
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - ---------------------------------------------
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Car ID: 2
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Brand: Nissan
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Model: Altima
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Year: 2023
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Price: 15000
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Current Date: 2023/06/23 05:13:49
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - ---------------------------------------------
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Car ID: 3
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Brand: BMW
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Model: X5
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Year: 2000
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Price: 8000
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Current Date: 2023/06/23 05:13:49
2023-06-23 05:13:49.419 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - ---------------------------------------------
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Electric Car ID: 4
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Brand: Tesla
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Model: Model 3
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - BatteryCapacity: -5082
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Price: 29000
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Current Date: 2023/06/23 05:13:49
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - ---------------------------------------------------------------
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Electric Car ID: 5
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Brand: Tesla
2023-06-23 05:13:49.420 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Model: Model X
2023-06-23 05:13:49.421 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - BatteryCapacity: 100
2023-06-23 05:13:49.421 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Price: 60000
2023-06-23 05:13:49.421 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Current Date: 2023/06/23 05:13:49
2023-06-23 05:13:49.421 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - ---------------------------------------------------------------
2023-06-23 05:13:49.421 [main] INFO  com.solvd.laba.xml.CarXmlParserRunner - Electric Car ID: 6
